isocode,XRAT,POP,cc,cg,ci,kc,kg,ki,openc,openk,csave,rgdpch,rgdpl,cgdp,rgdptt,y,p,pc,pg,pi,yr,cgnp,rgdpeqa,rgdpwok
ABW,,,,,,,,,,,,,,,,,,,,,1960,,,
ABW,,,,,,,,,,,,,,,,,,,,,1961,,,
ABW,,,,,,,,,,,,,,,,,,,,,1962,,,
ABW,,,,,,,,,,,,,,,,,,,,,1963,,,
ABW,,,,,,,,,,,,,,,,,,,,,1964,,,
ABW,,,,,,,,,,,,,,,,,,,,,1965,,,
ABW,,,,,,,,,,,,,,,,,,,,,1966,,,
ABW,,,,,,,,,,,,,,,,,,,,,1967,,,
ABW,,,,,,,,,,,,,,,,,,,,,1968,,,
ABW,,,,,,,,,,,,,,,,,,,,,1969,,,
ABW,,,,,,,,,,,,,,,,,,,,,1970,,,
ABW,,,,,,,,,,,,,,,,,,,,,1971,,,
ABW,,,,,,,,,,,,,,,,,,,,,1972,,,
ABW,,,,,,,,,,,,,,,,,,,,,1973,,,
ABW,,,,,,,,,,,,,,,,,,,,,1974,,,
ABW,,,,,,,,,,,,,,,,,,,,,1975,,,
ABW,,,,,,,,,,,,,,,,,,,,,1976,,,
ABW,,,,,,,,,,,,,,,,,,,,,1977,,,
ABW,,,,,,,,,,,,,,,,,,,,,1978,,,
ABW,,,,,,,,,,,,,,,,,,,,,1979,,,
ABW,,,,,,,,,,,,,,,,,,,,,1980,,,
ABW,,,,,,,,,,,,,,,,,,,,,1981,,,
ABW,,,,,,,,,,,,,,,,,,,,,1982,,,
ABW,,,,,,,,,,,,,,,,,,,,,1983,,,
ABW,,,,,,,,,,,,,,,,,,,,,1984,,,
ABW,,,,,,,,,,,,,,,,,,,,,1985,,,
ABW,,,,,,,,,,,,,,,,,,,,,1986,,,
ABW,,,,,,,,,,,,,,,,,,,,,1987,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1988,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1989,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1990,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1991,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1992,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1993,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1994,100,,
ABW,,,,,,,,,,,,,,,,,,,,,1995,,,
ABW,,,,,,,,,,,,,,,,,,,,,1996,,,
ABW,,,,,,,,,,,,,,,,,,,,,1997,,,
ABW,,,,,,,,,,,,,,,,,,,,,1998,,,
ABW,,,,,,,,,,,,,,,,,,,,,1999,,,
ABW,,,,,,,,,,,,,,,,,,,,,2000,,,
ADO,,,,,,,,,,,,,,,,,,,,,1960,,,
ADO,,,,,,,,,,,,,,,,,,,,,1961,,,
ADO,,,,,,,,,,,,,,,,,,,,,1962,,,
ADO,,,,,,,,,,,,,,,,,,,,,1963,,,
ADO,,,,,,,,,,,,,,,,,,,,,1964,,,
ADO,,,,,,,,,,,,,,,,,,,,,1965,,,
ADO,,,,,,,,,,,,,,,,,,,,,1966,,,
ADO,,,,,,,,,,,,,,,,,,,,,1967,,,
ADO,,,,,,,,,,,,,,,,,,,,,1968,,,
ADO,,,,,,,,,,,,,,,,,,,,,1969,,,
ADO,,,,,,,,,,,,,,,,,,,,,1970,,,
ADO,,,,,,,,,,,,,,,,,,,,,1971,,,
ADO,,,,,,,,,,,,,,,,,,,,,1972,,,
ADO,,,,,,,,,,,,,,,,,,,,,1973,,,
ADO,,,,,,,,,,,,,,,,,,,,,1974,,,
ADO,,,,,,,,,,,,,,,,,,,,,1975,,,
ADO,,,,,,,,,,,,,,,,,,,,,1976,,,
ADO,,,,,,,,,,,,,,,,,,,,,1977,,,
ADO,,,,,,,,,,,,,,,,,,,,,1978,,,
ADO,,,,,,,,,,,,,,,,,,,,,1979,,,
ADO,,,,,,,,,,,,,,,,,,,,,1980,,,
ADO,,,,,,,,,,,,,,,,,,,,,1981,,,
ADO,,,,,,,,,,,,,,,,,,,,,1982,,,
ADO,,,,,,,,,,,,,,,,,,,,,1983,,,
ADO,,,,,,,,,,,,,,,,,,,,,1984,,,
ADO,,,,,,,,,,,,,,,,,,,,,1985,,,
ADO,,,,,,,,,,,,,,,,,,,,,1986,,,
ADO,,,,,,,,,,,,,,,,,,,,,1987,,,
ADO,,,,,,,,,,,,,,,,,,,,,1988,,,
ADO,,,,,,,,,,,,,,,,,,,,,1989,,,
ADO,,,,,,,,,,,,,,,,,,,,,1990,,,
ADO,,,,,,,,,,,,,,,,,,,,,1991,,,
ADO,,,,,,,,,,,,,,,,,,,,,1992,,,
ADO,,,,,,,,,,,,,,,,,,,,,1993,,,
ADO,,,,,,,,,,,,,,,,,,,,,1994,,,
ADO,,,,,,,,,,,,,,,,,,,,,1995,,,
ADO,,,,,,,,,,,,,,,,,,,,,1996,,,
ADO,,,,,,,,,,,,,,,,,,,,,1997,,,
ADO,,,,,,,,,,,,,,,,,,,,,1998,,,
ADO,,,,,,,,,,,,,,,,,,,,,1999,,,
ADO,,,,,,,,,,,,,,,,,,,,,2000,,,
AFG,,,,,,,,,,,,,,,,,,,,,1960,102.06609318,,
AFG,,,,,,,,,,,,,,,,,,,,,1961,102.02428613,,
AFG,,,,,,,,,,,,,,,,,,,,,1962,102.03251491,,
